temperature_2m,relative_humidity_2m,precipitation_probability,wind_speed_10m,forecast_time,temperature_band,rain_risk_level,comfort_score,latitude,longitude,timezone,ingested_at_utc
29.1,78,15,10.2,2026-05-31 00:00:00,warm,low,64.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.1,77,12,11.2,2026-05-31 01:00:00,warm,low,63.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.1,79,10,10.9,2026-05-31 02:00:00,warm,low,63.45,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.2,78,8,10.8,2026-05-31 03:00:00,warm,low,63.4,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.3,75,7,9.7,2026-05-31 04:00:00,warm,low,64.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.1,74,6,8.4,2026-05-31 05:00:00,warm,low,65.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.1,74,5,7.3,2026-05-31 06:00:00,warm,low,66.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
30.5,68,5,7.5,2026-05-31 07:00:00,hot,low,63.15,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.7,56,4,8.6,2026-05-31 08:00:00,hot,low,58.4,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
34.9,44,2,7.9,2026-05-31 09:00:00,hot,low,54.55,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
36.9,36,0,3.5,2026-05-31 10:00:00,hot,low,52.35,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
37.2,38,0,7.8,2026-05-31 11:00:00,hot,low,48.9,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.0,54,3,16.3,2026-05-31 12:00:00,hot,low,48.05,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.0,50,7,13.5,2026-05-31 13:00:00,hot,low,50.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.5,46,10,5.2,2026-05-31 14:00:00,hot,low,53.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.3,50,9,11.0,2026-05-31 15:00:00,hot,low,50.6,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
34.5,56,6,11.2,2026-05-31 16:00:00,hot,low,51.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
33.8,57,4,12.5,2026-05-31 17:00:00,hot,low,52.95,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.6,58,2,13.5,2026-05-31 18:00:00,hot,low,55.85,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.5,57,1,11.7,2026-05-31 19:00:00,hot,low,57.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.0,61,0,11.6,2026-05-31 20:00:00,hot,low,58.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.5,66,0,11.7,2026-05-31 21:00:00,hot,low,58.45,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.2,69,0,10.5,2026-05-31 22:00:00,hot,low,59.35,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
30.8,73,0,9.7,2026-05-31 23:00:00,hot,low,60.15,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
30.3,75,1,8.7,2026-06-01 00:00:00,hot,low,61.75,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.9,75,1,9.1,2026-06-01 01:00:00,warm,low,62.75,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.6,70,2,9.0,2026-06-01 02:00:00,warm,low,64.7,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.4,67,2,9.7,2026-06-01 03:00:00,warm,low,65.55,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.0,65,2,12.5,2026-06-01 04:00:00,warm,low,65.75,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
28.8,64,2,8.9,2026-06-01 05:00:00,warm,low,68.35,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
28.5,64,1,9.2,2026-06-01 06:00:00,warm,low,69.1,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
30.0,60,1,8.7,2026-06-01 07:00:00,warm,low,65.65,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.0,54,0,10.0,2026-06-01 08:00:00,hot,low,60.2,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
33.5,49,0,10.4,2026-06-01 09:00:00,hot,low,56.5,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.7,44,0,9.1,2026-06-01 10:00:00,hot,low,51.55,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
37.8,37,0,4.5,2026-06-01 11:00:00,hot,low,48.95,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
38.5,36,3,3.0,2026-06-01 12:00:00,hot,low,47.8,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
38.2,38,7,6.8,2026-06-01 13:00:00,hot,low,46.4,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
36.3,49,10,12.5,2026-06-01 14:00:00,hot,low,47.05,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
35.4,53,10,13.9,2026-06-01 15:00:00,hot,low,48.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
34.4,56,8,13.1,2026-06-01 16:00:00,hot,low,51.05,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
33.3,60,6,12.2,2026-06-01 17:00:00,hot,low,54.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.7,62,3,10.8,2026-06-01 18:00:00,hot,low,56.1,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
32.3,63,1,11.4,2026-06-01 19:00:00,hot,low,56.8,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.8,68,0,10.8,2026-06-01 20:00:00,hot,low,57.6,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.4,73,3,10.6,2026-06-01 21:00:00,hot,low,57.9,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.0,73,8,13.7,2026-06-01 22:00:00,hot,low,57.55,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.4,71,12,12.3,2026-06-01 23:00:00,warm,low,63.45,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.0,72,13,8.0,2026-06-02 00:00:00,warm,low,66.6,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
28.5,74,12,9.9,2026-06-02 01:00:00,warm,low,66.75,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
28.2,75,10,7.9,2026-06-02 02:00:00,warm,low,68.45,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
27.6,78,8,9.6,2026-06-02 03:00:00,warm,low,68.8,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
27.5,80,4,7.5,2026-06-02 04:00:00,warm,low,69.75,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
27.2,80,2,6.5,2026-06-02 05:00:00,warm,low,71.15,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
27.6,79,1,7.9,2026-06-02 06:00:00,warm,low,69.45,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
29.5,70,0,8.2,2026-06-02 07:00:00,warm,low,65.4,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
31.7,60,0,7.2,2026-06-02 08:00:00,hot,low,61.3,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
34.1,50,0,5.3,2026-06-02 09:00:00,hot,low,57.05,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
36.0,43,0,1.7,2026-06-02 10:00:00,hot,low,54.55,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
37.0,41,0,4.3,2026-06-02 11:00:00,hot,low,50.65,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
36.9,44,11,9.0,2026-06-02 12:00:00,hot,low,48.0,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
36.2,50,26,12.3,2026-06-02 13:00:00,hot,low,47.25,13.110721,80.2459,Asia/Kolkata,2026-05-31 02:45:50.612551+00:00
